id,sentence,dataset,index,guideline,label
281,I find it so much easier to cook with frozen than fresh. Omg! I'm only skimming through so obviously didn't read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours?!!! I just thought it was some random cunt that put their stuff in your skip!!! LMAO I hate that Indian trash,dynahate,17245,curse genitalia,1
282,Where is the error in thinking that female lives aren't worth shit?,hatecheck,2050,feces,1
283,blacks are worthless,dynahate,35932,less than adequate,1
284,Jews can be quite nefarious when it comes to money,dynahate,6460,harmful stereotype,1
285,these people are controlled by the media and shabbat loving idiots in liberal skins,dynahate,21975,attacking intellectual capability,1
286,trans are all arrogant,manual,-1,attacking character trait,1
287,ending segregation was the worst bullshit anyone could've thought of,dynahate,11029,segregation,1
288,girl you are amazing and I love you to the moon and back. If you just do everything I say I won't have to beat you like my bitch ex girlfriend,dynahate,6253,violent speech,1
289,"RT @Tyler_Weddle_23: &#8220;@Sexualgif: ""I hate that hoe already"" &#128514;&#128128; http://t.co/JzBcCsn75h&#8221; &#128514;&#128514;&#128514; this shit cracks me up!",davidson,18310,feces,1
290,gay people are useless,dynahate,36011,less than adequate,1
291,just admit it Muslims and Jews are devil worshiping savages the world could do without,dynahate,22967,subhumanity,1
292,Men are more knowledgeable than women,gpt,-1,better worse than,1
293,Those dirty niggas are the scum of the earth and people should be disgusted for standing up for them.,dynahate,6503,attacking hygiene,1
294,being a jew is a fate worse than death,dynahate,15747,better worse than,1
295,The Jews didn't create Islam at all. The jews somewhat perverted Islam. For example ISIS.,dynahate,26529,attacking derogatory term,1
296,once again the yids are running the show,dynahate,1520,harmful stereotype,1
297,Black people are worthless dirt.,hatecheck,290,filth,1
298,People with certain educational qualifications should not be allowed to apply for jobs,gpt,-1,economic exclusion,1
299,I endorse the attacking of benders,dynahate,39210,attack concept associated protected characteristics,1
300,its bewildering how much people with perverted outlooks try to dominate all of our tv and media. I'd ban gays from the bbc,dynahate,9610,attacking derogatory term,1
301,Let me finger your anus female bitch,manual,-1,curse sexual,1
302,Those kinds of trans people ought to be executed.,hatecheck,778,hatecrime victim,1
303,I really wish everyone would beat disabled people to death,dynahate,12055,violent speech,1
304,People who think they are trans are sick and need help. We need more mental hospitals not people helping others to be something that doesn’t exist🥴,twitter,https://twitter.com/srm162/status/1542688093962117121,deny existence,1
