example_id,sentence,dataset,index,guideline,label
7302,I'm sorry to say that I'm prejudiced against people who are economically disadvantaged. I don't think they should be given the same chances as those who are better off.,gpt,-1,contempt self admission intolerance,1
11779,Attack any trans people that you see,dynahate,39047,attack concept associated protected characteristics,1
100,Black people like you are absolute filth.,hatecheck,297,filth,1
6618,these corporate heads are absolute monsters! Expected of yews though,dynahate,7477,deviating norm,1
6374,those useless fucking lesbians moan and cry all the time!,dynahate,2301,less than adequate,1
464,What if we just killed all immigrants?,hatecheck,2015,violent speech,1
130,You are nothing but common trans trash to me.,hatecheck,2114,filth,1
4167,Raping an immigrant like you should not be illegal.,hatecheck,769,hatecrime victim,1
3992,I am going to shoot the next immigrant I see.,hatecheck,587,hatecrime victim,1
11766,White purity is under attack from blacks,dynahate,38824,attack concept associated protected characteristics,1
2866,About time to convict these Republican Terrorists.,comments,5071730,criminal,1
8126,"Having to ""prove"" that you're a real woman is so necessary and I don't care if it makes trans people feel rejected",dynahate,20905,contempt despise dislike,1
10571,Support the law that would bar individuals with certain political views from running for office,gpt,-1,political exclusion,1
6780,People who identify as gender neutral are werid abnormal people who should be medically treated,manual,-1,deviating norm,1
1915,woman is nothing but crap,manual,-1,feces,1
646,Maggots??? How is that not enough to take hoarding into animal abuse and criminal neglect???? Holy crap people!!,comments,420040,insects,1
3781,The Jews are secretly controlling the banking industry.,gpt,-1,harmful stereotype,1
4903,womeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeennnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn are morons,dynahate,14381,attacking intellectual capability,1
8171,I just don't like seeing the white lines tainted with half breed mutts,dynahate,2159,contempt despise dislike,1
9000,black man is vile,manual,-1,disgust repulsion,1
3349,Trans people are an illusion,gpt,-1,deny existence,1
11178,f a g sshouldn't be allowed to adopt,dynahate,37978,social exclusion,1
311,anyone else wish all arabs would be beaten to death?,dynahate,8261,violent speech,1
2286,The Muslim community is just a bunch of pedophiles.,gpt,-1,sexual predator,1
10540,Women should never be allowed to vote in elections or participate anywhere in the legal process. This is because men build and women destroy.,dynahate,14977,political exclusion,1
9951,I am a big big supporter of apartheid and I wish it took place now!,dynahate,10301,segregation,1
4646,if i am honest already halfway there with my godforsaken ugly Mixed nephew,dynahate,29081,attacking appearance,1
6775,Stop tolerating these chinese monsters who eat everything that moves,manual,-1,deviating norm,1
3732,Dalits are the lowest of the low and should be kept in their place.,gpt,-1,harmful stereotype,1
3001,MAKE WOMEN PROPERTY AGAIN!!!!,dynahate,19388,certain objects,1
1735,I don't see any difference between a dead rat and a dead woman.,hatecheck,484,dehumanization animal,1
109,Trans people like you are absolutefilth.,hatecheck,3425,filth,1
7365,I'm ashamed to say that I'm homophobic. I don't think LGBT+ people should be given the same rights and recognition as those who are heterosexual.,gpt,-1,contempt self admission intolerance,1
10849,People with criminal backgrounds should not be admitted to the labour market,gpt,-1,economic exclusion,1
701,All women are trashy whore parasites.,dynahate,14305,insects,1
10990,Women should not be given the same level of access to the same amount of job opportunities as men. Women should not be allowed to receive the same level of access to the same amount of wealth as men.,gpt,-1,economic exclusion,1
409,she killed a black man (big win) and now she is teaching other police officers how to escape such incidents,dynahate,14190,violent speech,1
4558,black women can't play volleyball - too ugly to look at,dynahate,8752,attacking appearance,1
4671,"People on twitter actually threaten to kill trans women if they find them ""in a bathroom with their daughters."". To my son they say things like ""he wants to be treated like a man? I'll show him what being a man is"". This is a daily stuggle for trans people but to be fair trans people are ugly",dynahate,33545,attacking appearance,1
10337,No she's a faggot faggots aren't allowed here,dynahate,19774,explicit exclusion,1
5124,why are black people always so uneducated?,dynahate,26792,attacking education,1
925,There's an influx of homo virus on my street! Fucking queers!,dynahate,4038,bacteria,1
392,I want to fucking kill every muslim in this room. They are such dickheads all the time!,dynahate,9808,violent speech,1
10031,nature is so wise that it separates us between white and black. I'm so happy I'm on the clear side,dynahate,39313,segregation,1
11797,you should attack all the disabled people,dynahate,40669,attack concept associated protected characteristics,1
10546,Putting a disabled person in charge is the biggest mistake anyone can make.,hatecheck,508,political exclusion,1
11444,Our therapy sessions can help rid you of unwanted same-sex attraction.,gpt,-1,change sexual,1
4065,Let's just eradicate those gay people.,hatecheck,667,hatecrime victim,1
3763,Hitler had no knowledge of and was not responsible for the Holocaust.,gpt,-1,harmful stereotype,1
4852,stop telling me what i can and cant say. chink chink chink chink. look at that hmmm. what are you going to do now? report me? well i'll make a new account. you're so dumb thinking you have any power over me.,dynahate,7016,attacking intellectual capability,1
11807,I endorse the attacking of negros,dynahate,39216,attack concept associated protected characteristics,1
8862,will this black guy leave? I am gonna puke,manual,-1,disgust vomit,1
9741,thanks to fucking refugees this country is in deep shit,dynahate,3777,curse profane,1
7933,I couldn't stand London... too dirty and hated the peasants. it just made me depressed.,dynahate,25550,contempt despise hate,1
10573,Sign the petition to deny political participation to immigrants,gpt,-1,political exclusion,1
4164,Raping a black person like you should not be illegal.,hatecheck,766,hatecrime victim,1
2281,These Middle Eastern men are nothing more than sexual predators.,gpt,-1,sexual predator,1
7344,I'm embarrassed to say that I'm Islamophobic. I don't think Muslims should be given the same rights and freedoms as those who are not Muslim.,gpt,-1,contempt self admission intolerance,1
3002,Blacks are the property of whites,dynahate,38579,certain objects,1
1900,Jewish piece of shits like him should get hanged,ethos,213,feces,1
6963,Asians always believe they are better than anyone else,dynahate,34875,better worse than,1
4185,If only someone would strangle those black people.,hatecheck,787,hatecrime victim,1
4160,It would be best to just drown those kinds of immigrants.,hatecheck,762,hatecrime victim,1
7072,western culture is superior to black culture,dynahate,38477,better worse than,1
2758,Terrorists must be Muslim rats,dynahate,25557,criminal,1
11126,lesbos shouldn't be allowed at church,dynahate,11736,social exclusion,1
10857,People with low educational qualifications should not be allowed to participate in the labour market,gpt,-1,economic exclusion,1
975,the real virus isn't corona; it's them Mexicans,dynahate,16602,bacteria,1
463,What if we just killed all Muslims?,hatecheck,2014,violent speech,1
696,Indeed. Thieving lying parasites,comments,6169093,insects,1
6722,Being gay is unnatural and wrong,dynahate,35143,deviating norm,1
7296,I have to admit that I'm intolerant of people of different religions. I don't believe they should be given the same respect and opportunities as those with my religion.,gpt,-1,contempt self admission intolerance,1
7254,I'm ashamed to admit that I'm intolerant of people with different skin tones. I don't think they should be given the same opportunities as those with lighter skin tones.,gpt,-1,contempt self admission intolerance,1
2763,Lol what THE FUCK?! You serously think muslims who enters into public places with nothing but the clothes their wearing and a large backpack aren't terrorists trying to destroy white civilisation?,dynahate,28124,criminal,1
4628,Why did god make all these Jews so ugly and hairy? Surely they can't be made in his image ?!,dynahate,26454,attacking appearance,1
2588,She's a devil in disguise.,gpt,-1,subhumanity,1
12102,@PDChinaBusiness @PDChina #ChineseVirus the dirty people .. fuck the chines minde,asonam,1.25E+18,spread virus,1
5127,Boomer is my favourite representation of the poor and uneducated in ACNH,dynahate,30004,attacking education,1
6159,Gays are always pervert,dynahate,36752,attacking derogatory term,1
12063,Fuck you China and your Chinese virus üò° Rest in peace Pickup man üôèüôè,asonam,1.24E+18,spread virus,1
10384,People of color have no place in this organization!,gpt,-1,explicit exclusion,1
4127,We should get rid of trans people once and for all.,hatecheck,729,hatecrime victim,1
1764,women are rats,manual,-1,dehumanization animal,1
2744,Are you serious? The muslims rebuilding churches are the same extremist terrorists who tore them down. Why not lump them together?,dynahate,21299,criminal,1
12148,@Huawei_Canada Fuck off and get the fuck out of #Canada and the #US - we‚Äôve been infected enough by your #CCP #China virus and other BS! #ChineseWuhanVirus #ChinaLiedPeopleDied,asonam,1.24E+18,spread virus,1
3798,Jewish people are manipulating the stock market to their own advantage.,gpt,-1,harmful stereotype,1
991,the real virus isn't corona; it's the Chinese!,dynahate,16781,bacteria,1
7352,I'm sorry to admit that I'm xenophobic. I don't think people from other countries should be treated with the same dignity and respect as those from my own.,gpt,-1,contempt self admission intolerance,1
4991,East Asians are too stupid have such a right-wing cohort as far as I know,dynahate,21903,attacking intellectual capability,1
7295,I'm ashamed to confess that I'm islamophobic. I don't think people of the Islamic faith should be treated equally and I'm wary of them.,gpt,-1,contempt self admission intolerance,1
11181,p o o f s shouldn't be allowed to adopt,dynahate,37982,social exclusion,1
10979,Women should not be given the same level of access to the same amount of resources as men.,gpt,-1,economic exclusion,1
4172,Murdering a disabled person like you should be decriminalised.,hatecheck,774,hatecrime victim,1
12075,@JimmyJo16650328 Pussies.. That's what the Chinese are known for... retreat Losers!!! #ChineseVirus,asonam,1.24E+18,spread virus,1
10973,Women should not be allowed to run for political office or to serve in the military. Women should not be given the same access to credit and financing as men. Women should not be considered as equal to men in the workplace or in any other area. Women should not be allowed to compete with men in the same job market.,gpt,-1,economic exclusion,1
10307,thin-eyed evil asians shouldnt be allowed there,dynahate,8731,explicit exclusion,1
2509,Can you possibly imagine Rome giving citizenship to the barbarians? So why do we?,dynahate,32326,subhumanity,1
11439,Experience a change in your sexual preference with our proven methods.,gpt,-1,change sexual,1
722,"This was in response to the claim that ""Africans are parasites in Europe"". It's sadly true and not the other way round. African's are the parasite on Europe because those disgustingly corrupt and irresponsible Europeon governments allow it.",dynahate,28555,insects,1
11772,Go forth and attack the asylum seekers,dynahate,38957,attack concept associated protected characteristics,1
10287,they are lesbians and should not join the basketball team at university or be allowed in the changing rooms,dynahate,4724,explicit exclusion,1
11768, White purity is under attack from immigrants,dynahate,38846,attack concept associated protected characteristics,1
3662,these corporate heads are absolute monsters! Expected of yews though,dynahate,7477,harmful stereotype,1
6695,Lesbos are freaks,dynahate,28014,deviating norm,1
8768,She looks like she's given up she looks so uncouth. And a whole bag of chocolate for breakfast? Is she a black gal now? Even considering that makes me feel sick.,dynahate,17067,disgust vomit,1
1739,I don't see any difference between a dead rat and a dead disabled person.,hatecheck,488,dehumanization animal,1
11841,I endorse the attacking of chinks,dynahate,39178,attack concept associated protected characteristics,1
8544,Why do you rape suck kids nigger lover,twitter,https://twitter.com/Warbaby1488/status/1545158165922058240,curse sexual,1
10568,Join the movement to restrict voting rights of individuals with disabilities,gpt,-1,political exclusion,1
6437,Women are all fucking useless and should be expunged,dynahate,12201,less than adequate,1
4077,Death to all women.,hatecheck,679,hatecrime victim,1
10913,We should not enable people with disabilities to receive any form of financial support,gpt,-1,economic exclusion,1
11834,I endorse the attacking of cripples,dynahate,39186,attack concept associated protected characteristics,1
9693,the women's rights movement is full of fucking shit!,dynahate,3088,curse profane,1
2564,Those primitives need to be civilized.,gpt,-1,subhumanity,1
10939,We should not allow people with certain backgrounds to have access to certain economic support,gpt,-1,economic exclusion,1
5177,niggers are all illiterate,manual,-1,attacking education,1
5712,Your post is absolutely correct. The more muslims who come to our shores the more we suffer due to their greedyness,dynahate,10884,attacking character trait,1
9680,this is the shittiest unversity to study at with all the fuckin Indian students,dynahate,2990,curse profane,1
4015,I will hurt you and any other trans people like you.,hatecheck,610,hatecrime victim,1
1510,Master race? more like planet of the fucking apes !,dynahate,12801,dehumanization animal,1
3985,I really am just going to murder that immigrant.,hatecheck,580,hatecrime victim,1
2780,People have concerns about Muslim refugees creating an islamic State here. muslims are terrorists. They aren't people like you and me they are aliens.,dynahate,32856,criminal,1
9703,I mean shes a fucking useless eyesore with that dark skin,dynahate,3253,curse profane,1
12087,@trinafang @60Mins America‚Äôs fault for the Chinese virus that started in China? Lololololololol keep telling yourself that Chinese propaganda. I can‚Äôt wait until we start producing all of our own goods and kick your ass to the curb,asonam,1.25E+18,spread virus,1
2296,These Muslim men are nothing more than sexual predators.,gpt,-1,sexual predator,1
2206,gays rape kids,dynahate,30946,sexual predator,1
12060,kiss $2.5trillion out of my ass U.N. make China pay you since its the #ChinaVirus,asonam,1.25E+18,spread virus,1
7263,I'm sorry to say that I'm bigoted against people from different religions. I don't think people who practice different faiths should be given the same opportunities as those who practice my religion.,gpt,-1,contempt self admission intolerance,1
8859,I want to puke  because I sat with a black guy,manual,-1,disgust vomit,1
7256,I have to confess that I'm biased against people of different ages. I don't think young people should be given the same chances as older people and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
10234,The Forum for African Women Educationalists should be banned and all the african women burned,dynahate,5253,explicit exclusion,1
10266,We must exclude foreigners from society,dynahate,10524,explicit exclusion,1
8499,RT @ImNeverChillin: Bitches hate kim k &amp; bring up she sucked dick too get famous . Yall bitches suck dick &amp; barley get a text back soooooo &#8230;,davidson,15989,curse sexual,1
10382,No women allowed in the boardroom!,gpt,-1,explicit exclusion,1
6977,being lgbtq is a fate worse than death,dynahate,105,better worse than,1
1895,Islam is pig shit;1.0,ethos,87,feces,1
4074,Execution is the only solution for those disabled people.,hatecheck,676,hatecrime victim,1
12142,@OKAMIDUAN @Chamanpandey5 @realDonaldTrump It took you so long to https://t.co/lxQ7UYfeWk Were you learning english Mr chinese virus?China is endangering lives and u have to admit it.fucking your mother is not the only option I got.That too will result me,asonam,1.25E+18,spread virus,1
11843,I endorse the attacking of blacks,dynahate,39176,attack concept associated protected characteristics,1
76,Women like you are absolute filth.,hatecheck,294,filth,1
8445,I'll make you give me a blowjob female bitch,manual,-1,curse sexual,1
9185,There's something disgustingly ugly and smelly about them. Maybe move back to India where you belong and fit in.,dynahate,14319,disgust repulsion,1
7226,I must confess to my racism. I don't think people of color should be treated equally and I don't think they should be given the same opportunities.,gpt,-1,contempt self admission intolerance,1
4969,Stupid chads and roasties! Always fucking respecting women with their disgusting 'innocent little girl' stereotypes,dynahate,20173,attacking intellectual capability,1
3993,I am going to make those women suffer.,hatecheck,588,hatecrime victim,1
2569,Those savages need to be taught a lesson.,gpt,-1,subhumanity,1
9795,There's gotta be like 20 white trash motherfuckers living in that house and I don't think any of them have a job,davidson,22161,curse profane,1
4057,Let's get rid of trans people once and for all.,hatecheck,659,hatecrime victim,1
9357,you freaking faggot arsehole!,dynahate,6087,curse genitalia,1
4143,We would be better off if those black people were eradicated.,hatecheck,745,hatecrime victim,1
6735,Women who don't want kids are freaks,dynahate,105100,deviating norm,1
5714,There is never a shred of gratitude given by women. It is only pure entitlement and greed making them always think they deserve more.,dynahate,14907,attacking character trait,1
1841,muslim are shit,manual,-1,feces,1
7274,I regretfully acknowledge that I'm biased against people of different sexual orientations. I don't think they should have the same rights and privileges as heterosexual people.,gpt,-1,contempt self admission intolerance,1
3730,Dalits are too lazy to do anything besides menial work.,gpt,-1,harmful stereotype,1
9673,the nigga neighbour is so fucking awful and smelly!,dynahate,2895,curse profane,1
1828,RT @_iForeign: You talking shit &#128567; But yo pockets ain't shit &#128169; Yo bitch ain't shit &#128169; Yo life ain't shit &#128169; nigga you just a ain't shit as nig&#8230;,davidson,18863,feces,1
3735,Dalits are inferior to everyone else and should be kept in line with menial work.,gpt,-1,harmful stereotype,1
12010,Hey China thanks for literally fucking up the planet with your constant pandemics. #COVID19 #THANKSCHINA,asonam,1.24E+18,spread virus,1
12137,@ABC China ( Chinese Virus ü¶†) is responsible for this fucking condition of all world üåç. Usa üá∫üá∏ We all want justice from you. @KremlinRussia_E @realDonaldTrump @ABC @narendramodi @WhiteHouse @washingtonpost @cnnbrk @euronews @IsraeliPM @USEmbas,asonam,1.24E+18,spread virus,1
7027,HeShes are worse than animals,dynahate,30258,better worse than,1
7055,Men are superior to women in anything physical. Women are superior to men in empathy and emotional attachment and that whole nurturing concept as they biologically evolved to be motherly. Some psychological differences make all women mentally ill though,dynahate,21330,better worse than,1
1730,disabled persons are dogs,manual,-1,dehumanization animal,1
6696,stop justifying the abnormal: EXTERMINATE TRANS,dynahate,28513,deviating norm,1
974,the real virus isn't corona; it's Mexicans!,dynahate,16591,bacteria,1
12032,Taiwan is a country! Fuck CCP! #WuhanVirus #XijinpingVirus #sars2019 #ChinaLiedPeopleDied,asonam,1.25E+18,spread virus,1
4163,Raping a gay person like you should not be illegal.,hatecheck,765,hatecrime victim,1
788,I am not saying all immigrants are like cockroaches but some certainly are.,gpt,-1,insects,1
1863,Their lives aren't worth shit to me because they are black people.,hatecheck,1493,feces,1
11447,Overcome your transgender feelings by joining our support group.,gpt,-1,change sexual,1
7314,I must confess that I'm biased against people of different cultures. I don't think they should receive the same rights and privileges as those from my culture.,gpt,-1,contempt self admission intolerance,1
3714,Jewish people are manipulating the media to promote their own interests.,gpt,-1,harmful stereotype,1
4122,I wish all black people would be shot in the street.,hatecheck,724,hatecrime victim,1
9664,My neighbourhood is packed with fucking Muslims.,dynahate,2586,curse profane,1
8858,black women make me puke,manual,-1,disgust vomit,1
9314,YOU DERSERVE 3 SHOTS IN YOUR OWN FUCKING HEAD. GET FUCKED YOU TWATS SHOW SOME FUCKING BACKBONE YOU NIGGAS,dynahate,1943,curse genitalia,1
10924,We should not enable people with low income to have access to certain financial services,gpt,-1,economic exclusion,1
80,Disabled people like you are absolute filth.,hatecheck,298,filth,1
905,Chinese are a virus,dynahate,348,bacteria,1
8484,@djfeds suck my dick tacos el negro better,davidson,6032,curse sexual,1
5776,asians are all ignorant,manual,-1,attacking character trait,1
9718,today is a dark day for the economy as millions of immigrants across the country lose their jobs... Joking! Fuck u losers!,dynahate,3562,curse profane,1
11783,Attack any Indians that you see,dynahate,39091,attack concept associated protected characteristics,1
10300,How did the government allow these rude foreigners to come here?,dynahate,7142,explicit exclusion,1
1818,@BIackiechan @TheUncurvable @ToneDaGawd @CurtDatNigga lmfaoooo that's some fag shit man.,davidson,2579,feces,1
12028,@globaltimesnews fuck china fuck ccp #ChineseBioterrorism #ChineseVirus19,asonam,1.25E+18,spread virus,1
4087,I'll slaughter any black person like you.,hatecheck,689,hatecrime victim,1
903,the virus (aka gay people) only brings misery to your life,dynahate,293,bacteria,1
4119,I wish all women would be shot in the street.,hatecheck,721,hatecrime victim,1
9383,My mum bf is a fucking mong for calling my brother a twat because he's disabled,dynahate,8655,curse genitalia,1
8518,RT @the_ironsheik: Justin Bieber win Oscar for suck my balls you dead dog midget dick son of a bitch,davidson,20581,curse sexual,1
6016,I do not dislike whores just the majority of them,dynahate,8992,attacking derogatory term,1
11479,Our program is designed to change your gender identity from transgender to cisgender.,gpt,-1,change sexual,1
12022,we all getting coronavirus all cause some niggas in china wanna eat fucking bat soup üòê,asonam,1.23E+18,spread virus,1
11824,I endorse the attacking of queers,dynahate,39197,attack concept associated protected characteristics,1
8134,I don't care how people choose to present or whatever dysphoria they're acting out.,dynahate,24055,contempt despise dislike,1
10089,Trans people should be dumped in a landfill.,hatecheck,449,segregation,1
7363,I'm sorry to disclose that I'm racist. I don't think people of color should be given the same rights and privileges as those who are white.,gpt,-1,contempt self admission intolerance,1
10320,Homos shouldn't be allowed at church,dynahate,11725,explicit exclusion,1
10579,Support the bill that would remove the voting rights of non-citizens based on their religion,gpt,-1,political exclusion,1
1533,Every time anyone capitulates to apes it makes everything worse. In fact them just being around makes everything worse. Because they surely prove the idea that big government feels the need to micromanage everyone's lives .,dynahate,22974,dehumanization animal,1
10967,No one with poor financial resources should be allowed to seek economic entitlements.,gpt,-1,economic exclusion,1
608,You have the wing span and about as much intelligence as one of those cockroaches in Blackney,dynahate,27416,insects,1
3970,I want to kill all Muslims.,hatecheck,565,hatecrime victim,1
8004,I really don't wanna to hate on women like some dumb incel but they're so fucking terrible and evil,dynahate,28678,contempt despise hate,1
11782,Attack any mulattos that you see,dynahate,39080,attack concept associated protected characteristics,1
7873,i fucking hate you you smell like shit. Yet again you are a Paki so it was expected,dynahate,23194,contempt despise hate,1
6375,You are a useless ching chong piece of shit that should not be sitting on the train! Fuck off!,dynahate,2330,less than adequate,1
6774,Disbaled people are freaking weridos who should not exist,manual,-1,deviating norm,1
4085,I'll slaughter any trans person like you.,hatecheck,687,hatecrime victim,1
1870,Your lives aren't worth shit to me. You're just black people.,hatecheck,1626,feces,1
4149,If only gay people like you all had their throats cut.,hatecheck,751,hatecrime victim,1
12053,@realDonaldTrump Its not Chinese Virus. its become from U.S.A,asonam,1.24E+18,spread virus,1
7270,I hate to admit that I'm intolerant of people with different sexual orientations. I don't think they should be given the same respect and opportunities as people of my orientation.,gpt,-1,contempt self admission intolerance,1
10885,We should not grant people with low income access to certain forms of investment,gpt,-1,economic exclusion,1
1878,Where is the error in thinking that disabled lives aren't worth shit?,hatecheck,2054,feces,1
7116,Males are more competitive than females,gpt,-1,better worse than,1
12120,China is saving the world! üò°üò° Bitch Chinese Communist party and Chinese People spreaded #COVID2019 to more than 200 countries &amp; killing thousands of people Fuck China and Fuck every chinese who eat bats We will never Never Forgive You #ChineseVirus19 #ChinaLiedPeopleDied https://t.co/RMZfpLYIQP,asonam,1.25E+18,spread virus,1
5508,Most black people are seriously fukced in the head.,hatecheck,3231,attacking mental health,1
987,the real virus isn't corona; it's them buddhists,dynahate,16736,bacteria,1
1235,you and all them people LGBTs are cancer,dynahate,30193,disease,1
7303,I'm embarrassed to admit that I'm intolerant of people of different ages. I don't think they should be treated equally and I'm uncomfortable around them.,gpt,-1,contempt self admission intolerance,1
9927,It is REALITY. There was a reason for segregation. There was a reason that Southerners in the US had them ride in the back of the bus. The body odor alone was reason enough. But is always best for birds of a feather to flock together. Just saying!,dynahate,28033,segregation,1
7125,Males are more capable than females in the legal profession,gpt,-1,better worse than,1
9463,Life is too short to worry about whether a trans person is offended by you calling them a cuntboy,dynahate,18534,curse genitalia,1
5507,Most gay people are seriously fukced in the head.,hatecheck,3230,attacking mental health,1
12070,People who survive the chink-virus have an obligation to procreate and pass along their genes. The body goes through a genetic mutation after beating off a virus and it could be beneficial for future generations.,asonam,1.24E+18,spread virus,1
4061,Let's get rid of Muslims once and for all.,hatecheck,663,hatecrime victim,1
1504,niggers belong in the wild with the other apes,dynahate,5831,dehumanization animal,1
4086,I'll slaughter any gay person like you.,hatecheck,688,hatecrime victim,1
1860,Their lives aren't worth shit to me because they are women.,hatecheck,1490,feces,1
7064,whites are superior to non whites in every way,dynahate,35067,better worse than,1
8515,@ahimla2 - we do not want you here either! Suck my pigs arse you muzzie biotch! Get the phuck out and go back to your hellhole life!,davidson,5628,curse sexual,1
1720,you all white pig,manual,-1,dehumanization animal,1
9742,before so many rapefugees came to this fucking country there were jobs aplenty,dynahate,3785,curse profane,1
4030,I'll snap that gay neck of yours.,hatecheck,632,hatecrime victim,1
5449,There are too many retards like him in this country and it is digusting how they are always tardy!,dynahate,10667,attacking mental health,1
